gene_id,locus_tag
SGL_RS02955,sll1683
SGL_RS02960,sll1682
SGL_RS02965,slr1779
SGL_RS02970,slr1780
SGL_RS02975,sll1681
SGL_RS02980,sll1680
SGL_RS02985,sll1679
SGL_RS02990,slr1783
SGL_RS02995,slr1784
SGL_RS03000,sll1678
SGL_RS03005,sll1677
SGL_RS03010,sll1676
SGL_RS03015,sll1675
SGL_RS03020,slr1787
SGL_RS03025,slr1788
SGL_RS03030,slr1789
SGL_RS03035,sll1673
SGL_RS03040,sll1672
SGL_RS03045,sll1671
SGL_RS03055,slr1790
SGL_RS03060,slr1791
SGL_RS03065,sll1670
SGL_RS03070,ST6803t02
SGL_RS03075,sll1669
SGL_RS03080,slr1793
SGL_RS19410,SGL_RS19410
SGL_RS03085,ssr2998
SGL_RS03090,slr1794
SGL_RS03095,slr1795
SGL_RS03100,ssr3000
SGL_RS03105,sll1667
SGL_RS03110,sll1666
SGL_RS03115,slr1796
SGL_RS03120,sll1665
SGL_RS03125,sll1664
SGL_RS03130,sll1663
SGL_RS03135,sll1662
SGL_RS03140,ST6803t03
SGL_RS03145,slr1798
SGL_RS19755,SGL_RS19755
SGL_RS03155,sll1660
SGL_RS03160,sll1659
SGL_RS03165,sll1658
SGL_RS03170,slr1799
SGL_RS03175,slr1800
SGL_RS03180,sll1656
SGL_RS03185,sll1655
SGL_RS03190,sll1654
SGL_RS03195,sll1653
SGL_RS19760,SGL_RS19760
SGL_RS19765,SGL_RS19765
SGL_RS03210,slr1289
SGL_RS03215,slr1290
SGL_RS03220,sll1201
SGL_RS03225,slr1291
SGL_RS03230,sll1200
SGL_RS03235,slr1293
SGL_RS03240,ssr2142
SGL_RS03245,slr1295
SGL_RS03250,sll1198
SGL_RS19555,SGL_RS19555
SGL_RS03255,sll1196
SGL_RS03260,slr1298
SGL_RS03265,sll1194
SGL_RS03270,sll1193
SGL_RS20110,SGL_RS20110
SGL_RS03275,slr1299
SGL_RS03280,slr1300
SGL_RS03285,sll1192
SGL_RS03290,sll1191
SGL_RS03295,ssr2153
SGL_RS03300,slr1301
SGL_RS03305,slr1302
SGL_RS03310,slr1303
SGL_RS03315,sll1189
SGL_RS03320,slr1305
SGL_RS03325,slr1306
SGL_RS03330,sll1188
SGL_RS03335,sll1187
SGL_RS03340,sll1186
SGL_RS03345,sll1185
SGL_RS03350,sll1184
SGL_RS03355,slr1307
SGL_RS03360,ssr1604
SGL_RS03365,slr0962
SGL_RS03370,ST6803t04
SGL_RS03375,sll0943
SGL_RS03380,slr0963
SGL_RS03385,slr0964
SGL_RS03390,slr0965
SGL_RS03395,slr0966
SGL_RS03400,slr0967
SGL_RS03405,sll0939
SGL_RS03410,sll0938
SGL_RS03415,ssl1792
SGL_RS03420,sll0936
SGL_RS03425,slr0969
SGL_RS03430,slr0971
SGL_RS03435,sll0934
SGL_RS03440,sll0933
SGL_RS03445,ssl1784
SGL_RS03450,sll0932
SGL_RS03455,sll0931
SGL_RS03460,sll0930
SGL_RS03465,sll0928
SGL_RS03470,sll0927
SGL_RS03475,sll0926
SGL_RS03480,sll0925
SGL_RS03485,slr0974
SGL_RS03490,slr0975
SGL_RS03495,sll0924
SGL_RS03500,ST6803t05
SGL_RS03505,sll0923
SGL_RS19420,SGL_RS19420
SGL_RS03515,slr0976
SGL_RS03520,slr0977
SGL_RS03525,slr0978
SGL_RS03530,slr0980
SGL_RS03535,slr0981
SGL_RS03540,slr0982
SGL_RS03545,slr0983
SGL_RS03550,slr0984
SGL_RS03555,slr0985
SGL_RS03560,slr1610
SGL_RS03565,slr1611
SGL_RS03570,slr1612
SGL_RS03575,slr1613
SGL_RS19770,SGL_RS19770
SGL_RS03580,slr1614
SGL_RS03585,slr1615
SGL_RS03590,slr1616
SGL_RS03595,slr1617
SGL_RS03600,slr1618
SGL_RS03605,slr1619
SGL_RS03610,SGL_RS03610
SGL_RS03615,slr1062
SGL_RS03620,slr1063
SGL_RS03625,slr1064
SGL_RS03630,slr1065
SGL_RS03635,slr1066
SGL_RS03640,slr1067
